,sandwich_name,sandwich_description,restaurant_name,bread_type,sandwich_length,calories,calories_from_fat,total_fat,saturated_fat,trans_fat,cholesterol,sodium,total_carbohydrates,dietary_fiber,sugars,protein,Unnamed: 0,sandwich_id,sandwich_type
0,SLIM 1,"Made with hand-sliced smoked ham and provolone cheese and served on your choice of fresh-baked French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. The Slim 1 comes totally plain, with ham, cheese and bread only. You can customize your sandwich with your favorite Add-ons, and we're happy to give you mayo or mustard in packets. If you dig veggies or sauce, try out a Favorite or Original sandwich!",Jimmy Johns,Unwich,na,190,100,11,6.0,0.0,50,900,4,0,2.0,20,,,
1,SLIM 1,"Made with hand-sliced smoked ham and provolone cheese and served on your choice of fresh-baked French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. The Slim 1 comes totally plain, with ham, cheese and bread only. You can customize your sandwich with your favorite Add-ons, and we're happy to give you mayo or mustard in packets. If you dig veggies or sauce, try out a Favorite or Original sandwich!",Jimmy Johns,French Bread,8 Inch,120,120,14,6.0,0.0,50,"1,690",5,5,1.0,34,,,
2,SLIM 1,"Made with hand-sliced smoked ham and provolone cheese and served on your choice of fresh-baked French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. The Slim 1 comes totally plain, with ham, cheese and bread only. You can customize your sandwich with your favorite Add-ons, and we're happy to give you mayo or mustard in packets. If you dig veggies or sauce, try out a Favorite or Original sandwich!",Jimmy Johns,Thick-Sliced Wheat,na,560,180,19,6.0,0.0,50,"1,290",4,4,9.0,36,,,
3,SLIM 1,"Made with hand-sliced smoked ham and provolone cheese and served on your choice of fresh-baked French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. The Slim 1 comes totally plain, with ham, cheese and bread only. You can customize your sandwich with your favorite Add-ons, and we're happy to give you mayo or mustard in packets. If you dig veggies or sauce, try out a Favorite or Original sandwich!",Jimmy Johns,French Bread,16 Inch,"1,160",250,250,12.0,0.0,105,"3,370",154,10,2.0,69,,,
4,SLIM 2,"Made with hand-sliced roast beef and served on your choice of fresh-baked French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. The Slim 2 comes totally plain, with roast beef, and bread only. You can customize your sandwich with your favorite Add-ons, like avocado or provolone cheese, and we're happy to give you mayo or mustard in packets. If you dig veggies or sauce, try out a Favorite or Original sandwich!",Jimmy Johns,Unwich,na,90,25,3,2.0,0.0,45,490,1,0,1.0,17,,,
5,SLIM 2,"Made with hand-sliced roast beef and served on your choice of fresh-baked French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. The Slim 2 comes totally plain, with roast beef, and bread only. You can customize your sandwich with your favorite Add-ons, like avocado or provolone cheese, and we're happy to give you mayo or mustard in packets. If you dig veggies or sauce, try out a Favorite or Original sandwich!",Jimmy Johns,French Bread,8 Inch,50,50,6,1.0,0.0,45,"1,280",5,5,0.0,31,,,
6,SLIM 2,"Made with hand-sliced roast beef and served on your choice of fresh-baked French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. The Slim 2 comes totally plain, with roast beef, and bread only. You can customize your sandwich with your favorite Add-ons, like avocado or provolone cheese, and we're happy to give you mayo or mustard in packets. If you dig veggies or sauce, try out a Favorite or Original sandwich!",Jimmy Johns,Think-Sliced Wheat,na,460,110,11,1.0,0.0,45,880,4,4,8.0,33,,,
7,SLIM 2,"Made with hand-sliced roast beef and served on your choice of fresh-baked French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. The Slim 2 comes totally plain, with roast beef, and bread only. You can customize your sandwich with your favorite Add-ons, like avocado or provolone cheese, and we're happy to give you mayo or mustard in packets. If you dig veggies or sauce, try out a Favorite or Original sandwich!",Jimmy Johns,French Bread,16 Inch,960,100,100,3.0,0.0,90,"2,550",148,10,0.0,62,,,
8,SLIM 3,"Made with house-made tuna salad and served on your choice of fresh-baked French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. The Slim 3 comes totally plain, with Tuna salad and bread only. You can customize your sandwich with your favorite Add-ons, like avocado or provolone cheese, and we're happy to give you mayo or mustard in packets. If you dig veggies or sauce, try out a Favorite or Original sandwich!",Jimmy Johns,Unwich,na,250,180,20,3.0,0.0,30,700,5,1,2.0,11,,,
9,SLIM 3,"Made with house-made tuna salad and served on your choice of fresh-baked French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. The Slim 3 comes totally plain, with Tuna salad and bread only. You can customize your sandwich with your favorite Add-ons, like avocado or provolone cheese, and we're happy to give you mayo or mustard in packets. If you dig veggies or sauce, try out a Favorite or Original sandwich!",Jimmy Johns,French Bread,8 Inch,210,210,23,3.0,0.0,30,"1,490",6,6,2.0,26,,,
10,SLIM 3,"Made with house-made tuna salad and served on your choice of fresh-baked French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. The Slim 3 comes totally plain, with Tuna salad and bread only. You can customize your sandwich with your favorite Add-ons, like avocado or provolone cheese, and we're happy to give you mayo or mustard in packets. If you dig veggies or sauce, try out a Favorite or Original sandwich!",Jimmy Johns,Think-Sliced Wheat,na,610,270,29,3.0,0.0,30,"1,090",5,5,10.0,27,,,
11,SLIM 3,"Made with house-made tuna salad and served on your choice of fresh-baked French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. The Slim 3 comes totally plain, with Tuna salad and bread only. You can customize your sandwich with your favorite Add-ons, like avocado or provolone cheese, and we're happy to give you mayo or mustard in packets. If you dig veggies or sauce, try out a Favorite or Original sandwich!",Jimmy Johns,French Bread,16 Inch,"1,280",420,420,6.0,0.0,60,"2,980",155,12,3.0,52,,,
12,SLIM 4,"Made with hand-sliced turkey breast and served on your choice of fresh-baked French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. The Slim 4 comes totally plain, with turkey and bread only. You can customize your sandwich with your favorite Add-ons, like avocado or provolone cheese, and we're happy to give you mayo or mustard in packets. If you dig veggies or sauce, try out a Favorite or Original sandwich!",Jimmy Johns,Unwich,na,70,5,1,0.0,0.0,30,540,2,0,1.0,14,,,
13,SLIM 4,"Made with hand-sliced turkey breast and served on your choice of fresh-baked French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. The Slim 4 comes totally plain, with turkey and bread only. You can customize your sandwich with your favorite Add-ons, like avocado or provolone cheese, and we're happy to give you mayo or mustard in packets. If you dig veggies or sauce, try out a Favorite or Original sandwich!",Jimmy Johns,French Bread,8 Inch,30,30,3,0.0,0.0,30,"1,330",5,5,0.0,29,,,
14,SLIM 4,"Made with hand-sliced turkey breast and served on your choice of fresh-baked French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. The Slim 4 comes totally plain, with turkey and bread only. You can customize your sandwich with your favorite Add-ons, like avocado or provolone cheese, and we're happy to give you mayo or mustard in packets. If you dig veggies or sauce, try out a Favorite or Original sandwich!",Jimmy Johns,Think-Sliced Wheat,na,430,90,9,0.0,0.0,30,930,4,4,8.0,30,,,
15,SLIM 4,"Made with hand-sliced turkey breast and served on your choice of fresh-baked French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. The Slim 4 comes totally plain, with turkey and bread only. You can customize your sandwich with your favorite Add-ons, like avocado or provolone cheese, and we're happy to give you mayo or mustard in packets. If you dig veggies or sauce, try out a Favorite or Original sandwich!",Jimmy Johns,French Bread,16 Inch,910,60,60,0.0,0.0,60,"2,650",150,10,0.0,57,,,
16,SLIM 5,"Made with hand-sliced capicola, salami & provolone cheese, and served on your choice of fresh-baked French bread, Thick-Sliced Wheat bread or lettuce-wrapped Unwich®. The Slim 5 comes totally plain, with capicola, salami, provolone cheese and bread only. You can customize your sandwich with your favorite Add-ons, and we're happy to give you mayo or mustard in packets. If you dig veggies or sauce, try out a Favorite or Original sandwich!",Jimmy Johns,Unwich,na,280,190,20,10.0,0.0,85,"1,270",3,0,2.0,22,,,
17,SLIM 5,"Made with hand-sliced capicola, salami & provolone cheese, and served on your choice of fresh-baked French bread, Thick-Sliced Wheat bread or lettuce-wrapped Unwich®. The Slim 5 comes totally plain, with capicola, salami, provolone cheese and bread only. You can customize your sandwich with your favorite Add-ons, and we're happy to give you mayo or mustard in packets. If you dig veggies or sauce, try out a Favorite or Original sandwich!",Jimmy Johns,French Bread,8 Inch,210,210,23,10.0,0.0,85,"2,060",5,5,1.0,37,,,
